images\cokes\image001.jpg,2,14720.00,64.00,230.50,6887.00,65.50,35.50
images\cokes\image002.jpg,2,12656.00,56.00,231.50,7387.00,44.50,41.50
images\cokes\image003.jpg,2,11286.00,49.50,231.00,7315.00,47.50,38.50
images\cokes\image004.jpg,2,10878.00,49.00,231.50,7885.00,59.50,41.50
images\cokes\image005.jpg,2,14224.00,64.50,232.00,8160.00,67.00,42.50
images\cokes\image006.jpg,2,10033.00,64.50,248.50,0.00,0.00,0.00
images\cokes\image007.jpg,2,0.00,0.00,0.00,8352.00,70.00,43.50
images\cokes\image008.jpg,2,13794.00,60.50,231.00,0.00,0.00,0.00
images\cokes\image009.jpg,2,13680.00,60.00,231.00,8736.00,61.00,45.50
images\cokes\image010.jpg,2,13908.00,67.00,231.00,0.00,0.00,0.00
images\cokes\image011.jpg,2,14592.00,64.00,231.00,6745.00,61.50,35.50
images\cokes\image012.jpg,2,6630.00,59.00,255.50,7896.00,61.00,42.00
images\cokes\image013.jpg,2,14012.00,62.00,231.50,0.00,0.00,0.00
images\cokes\image014.jpg,2,14280.00,60.00,228.50,8536.00,48.50,44.00
images\cokes\image015.jpg,2,12644.00,73.50,230.00,8556.00,69.00,46.50
images\cokes\image016.jpg,2,14012.00,62.00,231.50,7440.00,61.50,40.00
images\cokes\image017.jpg,2,13452.00,59.00,231.00,7520.00,59.00,40.00
images\cokes\image018.jpg,2,0.00,0.00,0.00,0.00,0.00,0.00
images\cokes\image019.jpg,2,13653.00,61.50,232.50,7812.00,57.50,42.00
images\cokes\image020.jpg,2,14848.00,64.00,230.00,9506.00,61.50,49.00
images\cokes\image021.jpg,2,14012.00,66.00,231.50,7990.00,71.00,42.50
images\cokes\image022.jpg,2,14336.00,64.00,232.00,7990.00,63.00,42.50
images\cokes\image023.jpg,2,14364.00,63.00,231.00,0.00,0.00,0.00
images\cokes\image024.jpg,2,14022.00,61.50,231.00,8400.00,52.50,40.00
images\cokes\image025.jpg,2,3132.00,110.00,239.50,0.00,0.00,0.00
images\cokes\image026.jpg,2,0.00,0.00,0.00,7790.00,70.50,41.00
images\cokes\image027.jpg,2,12995.00,57.50,231.50,8415.00,49.50,42.50
images\cokes\image028.jpg,2,14848.00,64.00,228.00,10028.00,73.50,46.00
images\cokes\image029.jpg,2,0.00,0.00,0.00,8170.00,64.50,43.00
images\cokes\image030.jpg,2,5085.00,105.50,226.50,0.00,0.00,0.00
