images\split\0000.jpg,13225.00,57.50,229.50,7426.00,54.00,39.50,148.00
images\split\0001.jpg,14720.00,64.00,230.50,6816.00,65.00,35.50,77.00
images\split\0002.jpg,12084.00,56.00,231.00,6734.00,63.50,37.00,154.00
images\split\0003.jpg,9379.00,52.50,231.50,7575.00,37.50,50.50,153.00
images\split\0004.jpg,12656.00,56.00,231.50,7476.00,44.50,42.00,155.00
images\split\0005.jpg,0.00,0.00,0.00,7347.00,46.50,39.50,155.00
images\split\0006.jpg,0.00,0.00,0.00,7812.00,42.00,46.50,256.00
images\split\0007.jpg,11514.00,50.50,231.00,7315.00,47.50,38.50,254.00
images\split\0008.jpg,12426.00,54.50,231.00,8811.00,49.50,44.50,156.00
images\split\0009.jpg,13110.00,57.50,231.00,8742.00,46.50,47.00,151.00
images\split\0010.jpg,12987.00,58.50,231.50,7896.00,60.00,42.00,251.00
images\split\0011.jpg,4096.00,35.00,209.00,8118.00,59.50,41.00,153.00
images\split\0012.jpg,13224.00,57.00,230.00,9900.00,50.00,49.50,151.00
images\split\0013.jpg,14224.00,64.50,232.00,8160.00,67.00,42.50,155.00
images\split\0014.jpg,0.00,0.00,0.00,6688.00,65.00,38.00,268.00
images\split\0015.jpg,7140.00,51.00,253.00,7315.00,47.50,38.50,244.00
images\split\0016.jpg,10033.00,64.50,248.50,0.00,0.00,0.00,129.00
images\split\0017.jpg,12426.00,54.50,231.00,7820.00,63.00,42.50,154.00
images\split\0018.jpg,12995.00,57.50,231.50,8400.00,62.50,40.00,153.00
images\split\0019.jpg,0.00,0.00,0.00,8352.00,70.00,43.50,288.00
images\split\0020.jpg,11856.00,57.00,231.00,6970.00,66.50,41.00,155.00
images\split\0021.jpg,11536.00,51.50,232.00,8232.00,49.00,42.00,153.00
images\split\0022.jpg,14136.00,62.00,231.00,0.00,0.00,0.00,133.00
images\split\0023.jpg,12426.00,54.50,231.00,7600.00,61.50,40.00,151.00
images\split\0024.jpg,11832.00,51.00,230.00,9212.00,47.00,49.00,150.00
images\split\0025.jpg,13680.00,60.00,231.00,8736.00,61.00,45.50,288.00
images\split\0026.jpg,9890.00,43.00,230.50,7938.00,60.00,40.50,154.00
images\split\0027.jpg,12320.00,60.00,232.00,8268.00,53.00,39.00,153.00
images\split\0028.jpg,13908.00,67.00,231.00,0.00,0.00,0.00,134.00
images\split\0029.jpg,11400.00,59.00,231.00,6248.00,65.00,35.50,156.00
images\split\0030.jpg,13110.00,57.50,231.00,7742.00,49.00,39.50,153.00
images\split\0031.jpg,14592.00,64.00,231.00,6745.00,61.50,35.50,80.00
images\split\0032.jpg,12426.00,54.50,231.00,7372.00,60.50,38.00,151.00
images\split\0033.jpg,11544.00,52.00,232.50,8736.00,48.00,45.50,154.00
images\split\0034.jpg,6464.00,59.50,256.00,7644.00,60.00,39.00,138.00
images\split\0035.jpg,12317.00,54.50,231.50,7448.00,60.00,38.00,151.00
images\split\0036.jpg,11211.00,50.50,232.50,9409.00,48.50,48.50,154.00
images\split\0037.jpg,14238.00,63.00,231.50,0.00,0.00,0.00,133.00
images\split\0038.jpg,12426.00,54.50,231.00,7448.00,60.00,38.00,151.00
images\split\0039.jpg,9379.00,52.50,231.50,7548.00,37.00,51.00,152.00
images\split\0040.jpg,12768.00,57.00,232.00,7553.00,45.50,41.50,228.00
